Date,Transaction Type,Symbol,Quantity,Price,Amount,Currency,Account Type
2025-01-15,buy,SHOP.TO,50,105.20,5260.00,CAD,NON-REG
2025-01-22,buy,RY.TO,80,145.30,11624.00,CAD,NON-REG
2025-01-22,buy,TD.TO,100,82.10,8210.00,CAD,TFSA
2025-02-03,buy,VFV.TO,60,118.50,7110.00,CAD,RRSP
2025-02-10,buy,NVDA,30,128.50,3855.00,USD,NON-REG
2025-02-14,sell,NVDA,30,135.20,4056.00,USD,NON-REG
2025-02-18,buy,NVDA,35,140.10,4903.50,USD,NON-REG
2025-02-28,buy,BNS.TO,120,68.90,8268.00,CAD,NON-REG
2025-03-05,buy,ENB.TO,150,54.20,8130.00,CAD,NON-REG
2025-03-10,buy,SU.TO,100,52.30,5230.00,CAD,NON-REG
2025-03-12,sell,SHOP.TO,50,112.80,5640.00,CAD,NON-REG
2025-03-15,buy,SHOP.TO,60,115.40,6924.00,CAD,NON-REG
2025-03-20,buy,AC.TO,200,18.50,3700.00,CAD,NON-REG
2025-04-01,buy,BMO.TO,90,128.40,11556.00,CAD,NON-REG
2025-04-08,dividend,RY.TO,80,1.42,113.60,CAD,NON-REG
2025-04-10,buy,TSLA,20,245.00,4900.00,USD,NON-REG
2025-04-15,sell,TSLA,20,260.30,5206.00,USD,NON-REG
2025-04-18,buy,TSLA,25,270.50,6762.50,USD,NON-REG
2025-04-22,sell,TSLA,25,255.10,6377.50,USD,NON-REG
2025-05-01,buy,CM.TO,70,65.80,4606.00,CAD,NON-REG
2025-05-05,buy,GOOGL,15,172.30,2584.50,USD,RRSP
2025-05-12,sell,SU.TO,100,48.90,4890.00,CAD,NON-REG
2025-05-15,buy,BB.TO,500,4.20,2100.00,CAD,NON-REG
2025-05-20,dividend,TD.TO,100,1.02,102.00,CAD,TFSA
2025-05-28,dividend,BNS.TO,120,1.06,127.20,CAD,NON-REG
2025-06-02,buy,AAPL,20,195.40,3908.00,USD,NON-REG
2025-06-10,sell,AAPL,20,202.10,4042.00,USD,NON-REG
2025-06-15,sell,ENB.TO,150,51.30,7695.00,CAD,NON-REG
2025-06-18,buy,BITF.TO,1000,2.10,2100.00,CAD,NON-REG
2025-06-25,buy,MARA,100,22.40,2240.00,USD,NON-REG
2025-07-01,dividend,RY.TO,80,1.42,113.60,CAD,NON-REG
2025-07-05,sell,BITF.TO,1000,1.85,1850.00,CAD,NON-REG
2025-07-10,buy,BITF.TO,1200,1.70,2040.00,CAD,NON-REG
2025-07-15,sell,GOOGL,15,178.90,2683.50,USD,RRSP
2025-07-20,buy,LSPD.TO,100,22.80,2280.00,CAD,NON-REG
2025-08-01,sell,SHOP.TO,60,98.50,5910.00,CAD,NON-REG
2025-08-05,buy,SHOP.TO,70,96.20,6734.00,CAD,NON-REG
2025-08-10,sell,MARA,100,18.30,1830.00,USD,NON-REG
2025-08-15,dividend,BMO.TO,90,1.55,139.50,CAD,NON-REG
2025-08-20,buy,XQQ.TO,40,135.60,5424.00,CAD,TFSA
2025-09-01,buy,AMZN,10,188.20,1882.00,USD,NON-REG
2025-09-05,sell,AMZN,10,194.50,1945.00,USD,NON-REG
2025-09-10,buy,PLTR,50,38.40,1920.00,USD,NON-REG
2025-09-15,sell,PLTR,50,41.20,2060.00,USD,NON-REG
2025-09-20,dividend,BNS.TO,120,1.06,127.20,CAD,NON-REG
2025-09-25,sell,BB.TO,500,3.40,1700.00,CAD,NON-REG
2025-10-01,buy,TSLA,30,280.00,8400.00,USD,NON-REG
2025-10-05,sell,CM.TO,70,62.10,4347.00,CAD,NON-REG
2025-10-10,sell,NVDA,35,122.80,4298.00,USD,NON-REG
2025-10-15,buy,SHOP.TO,40,88.50,3540.00,CAD,NON-REG
2025-10-20,dividend,RY.TO,80,1.42,113.60,CAD,NON-REG
2025-11-01,sell,LSPD.TO,100,18.40,1840.00,CAD,NON-REG
2025-11-05,buy,AC.TO,100,15.20,1520.00,CAD,NON-REG
2025-11-15,dividend,TD.TO,100,1.02,102.00,CAD,TFSA
2025-11-20,buy,VFV.TO,30,125.40,3762.00,CAD,RRSP
